lr,epochs,batch_size,optimizer,nb_layers,activation,pooling,MSE,SNR_dB
0.001,20,64,adam,2,relu,avg,0.0016911840066313744,0.142669
0.001,20,64,adam,2,tanh,avg,0.0030851964838802814,0.20365785
0.001,20,64,adam,4,relu,avg,0.030507368966937065,3.8736238
0.001,20,64,adam,4,tanh,avg,0.046355340629816055,6.888359
0.001,20,64,adam,6,relu,avg,0.03678009286522865,4.4994793
0.001,20,64,adam,6,tanh,avg,0.050710663199424744,10.232685
0.001,20,128,adam,2,relu,avg,0.00204297318123281,0.14432494
0.001,20,128,adam,2,tanh,avg,0.003164147725328803,0.22830477
0.001,20,128,adam,4,relu,avg,0.026868337765336037,3.7055712
0.001,20,128,adam,4,tanh,avg,0.027793798595666885,3.35993
0.001,20,128,adam,6,relu,avg,0.03860801085829735,4.9596076
0.001,20,128,adam,6,tanh,avg,0.05151325836777687,11.370382
0.001,20,256,adam,2,relu,avg,0.002546562347561121,0.29730937
0.001,20,256,adam,2,tanh,avg,0.0040495204739272594,0.098116696
0.001,20,256,adam,4,relu,avg,0.030661316588521004,4.0406384
0.001,20,256,adam,4,tanh,avg,0.026992617174983025,3.477936
0.001,20,256,adam,6,relu,avg,0.049912407994270325,11.097925
0.001,20,256,adam,6,tanh,avg,0.05405205488204956,17.746424
0.001,50,64,adam,2,relu,avg,0.0010816608555614948,0.10713946
0.001,50,64,adam,2,tanh,avg,0.002254763152450323,0.121964596
0.001,50,64,adam,4,relu,avg,0.025895746424794197,3.5934892
0.001,50,64,adam,4,tanh,avg,0.030963663011789322,4.067413
0.001,50,64,adam,6,relu,avg,0.04279077798128128,6.805605
0.001,50,64,adam,6,tanh,avg,0.0512557178735733,13.717598
0.001,50,128,adam,2,relu,avg,0.0014982688007876277,0.1461489
0.001,50,128,adam,2,tanh,avg,0.0025241428520530462,0.076166525
0.001,50,128,adam,4,relu,avg,0.02735978551208973,3.6229956
0.001,50,128,adam,4,tanh,avg,0.027042444795370102,3.2800107
0.001,50,128,adam,6,relu,avg,0.03577272221446037,4.4107103
0.001,50,128,adam,6,tanh,avg,0.05448582395911217,19.055471
0.001,50,256,adam,2,relu,avg,0.0018628701800480485,0.1823181
0.001,50,256,adam,2,tanh,avg,0.0028764610178768635,0.16486998
0.001,50,256,adam,4,relu,avg,0.029668057337403297,4.0493584
0.001,50,256,adam,4,tanh,avg,0.054341867566108704,16.649202
0.001,50,256,adam,6,relu,avg,0.03738349676132202,4.6983438
0.001,50,256,adam,6,tanh,avg,0.05078529566526413,11.993001
0.001,100,64,adam,2,relu,avg,0.0008909984608180821,0.079576924
0.001,100,64,adam,2,tanh,avg,0.002128309803083539,0.04362938
0.001,100,64,adam,4,relu,avg,0.029901104047894478,3.8015327
0.001,100,64,adam,4,tanh,avg,0.03111201897263527,3.876553
0.001,100,64,adam,6,relu,avg,0.034493885934352875,4.037942
0.001,100,64,adam,6,tanh,avg,0.0484689325094223,10.011828
0.001,100,128,adam,2,relu,avg,0.0010363699402660131,0.07951638
0.001,100,128,adam,2,tanh,avg,0.0018581368494778872,0.1397042
0.001,100,128,adam,4,relu,avg,0.025834184139966965,3.6807055
0.001,100,128,adam,4,tanh,avg,0.030068496242165565,3.0929627
0.001,100,128,adam,6,relu,avg,0.03357740864157677,3.7473257
0.001,100,128,adam,6,tanh,avg,0.05279000103473663,17.041012
0.001,100,256,adam,2,relu,avg,0.0013469785917550325,0.15928574
0.001,100,256,adam,2,tanh,avg,0.0020545385777950287,0.2691703
0.001,100,256,adam,4,relu,avg,0.024612918496131897,3.147258
0.001,100,256,adam,4,tanh,avg,0.03200178220868111,3.7617254
0.001,100,256,adam,6,relu,avg,0.03414303809404373,4.1505103
0.001,100,256,adam,6,tanh,avg,0.05172022059559822,10.770121
0.025750000000000002,20,64,adam,2,relu,avg,0.02338878996670246,2.1747954
0.025750000000000002,20,64,adam,2,tanh,avg,0.01942535489797592,0.5465636
0.025750000000000002,20,64,adam,4,relu,avg,0.055004917085170746,38.07265
0.025750000000000002,20,64,adam,4,tanh,avg,0.044296879321336746,4.9226556
0.025750000000000002,20,64,adam,6,relu,avg,0.07470814883708954,2.938699
0.025750000000000002,20,64,adam,6,tanh,avg,0.056406646966934204,12.172671
0.025750000000000002,20,128,adam,2,relu,avg,0.031164923682808876,3.507342
0.025750000000000002,20,128,adam,2,tanh,avg,0.013899391517043114,-0.019460974
0.025750000000000002,20,128,adam,4,relu,avg,0.05500069633126259,40.420242
0.025750000000000002,20,128,adam,4,tanh,avg,0.048048924654722214,7.141309
0.025750000000000002,20,128,adam,6,relu,avg,0.08233718574047089,1.5046426
0.025750000000000002,20,128,adam,6,tanh,avg,0.05813967064023018,9.734311
0.025750000000000002,20,256,adam,2,relu,avg,0.020595647394657135,1.6819676
0.025750000000000002,20,256,adam,2,tanh,avg,0.013979087583720684,0.3382448
0.025750000000000002,20,256,adam,4,relu,avg,0.05500645190477371,37.394367
0.025750000000000002,20,256,adam,4,tanh,avg,0.05609669163823128,10.009847
0.025750000000000002,20,256,adam,6,relu,avg,0.09611523896455765,-0.24937278
0.025750000000000002,20,256,adam,6,tanh,avg,0.05705958604812622,11.526585
0.025750000000000002,50,64,adam,2,relu,avg,0.055005766451358795,38.408016
0.025750000000000002,50,64,adam,2,tanh,avg,0.018303129822015762,0.89839303
0.025750000000000002,50,64,adam,4,relu,avg,0.055005431175231934,38.238556
0.025750000000000002,50,64,adam,4,tanh,avg,0.0468226782977581,5.9440565
0.025750000000000002,50,64,adam,6,relu,avg,0.05534173920750618,20.580194
0.025750000000000002,50,64,adam,6,tanh,avg,0.05646742880344391,12.253672
0.025750000000000002,50,128,adam,2,relu,avg,0.02277766913175583,1.6822312
0.025750000000000002,50,128,adam,2,tanh,avg,0.01613602414727211,0.63737494
0.025750000000000002,50,128,adam,4,relu,avg,0.05500533804297447,36.875416
0.025750000000000002,50,128,adam,4,tanh,avg,0.04331571236252785,4.8396363
0.025750000000000002,50,128,adam,6,relu,avg,0.09021735936403275,0.42709678
0.025750000000000002,50,128,adam,6,tanh,avg,0.05643166974186897,12.803271
0.025750000000000002,50,256,adam,2,relu,avg,0.016216939315199852,1.162842
0.025750000000000002,50,256,adam,2,tanh,avg,0.012864635325968266,0.26002732
0.025750000000000002,50,256,adam,4,relu,avg,0.05499983951449394,43.96446
0.025750000000000002,50,256,adam,4,tanh,avg,0.040909942239522934,5.053919
0.025750000000000002,50,256,adam,6,relu,avg,0.0876452848315239,0.778713
0.025750000000000002,50,256,adam,6,tanh,avg,0.058142367750406265,9.473073
0.025750000000000002,100,64,adam,2,relu,avg,0.02167809009552002,1.5743632
0.025750000000000002,100,64,adam,2,tanh,avg,0.01903630793094635,0.8512368
0.025750000000000002,100,64,adam,4,relu,avg,0.055005814880132675,38.41368
0.025750000000000002,100,64,adam,4,tanh,avg,0.048780832439661026,7.4685297
0.025750000000000002,100,64,adam,6,relu,avg,0.05500001832842827,45.381004
0.025750000000000002,100,64,adam,6,tanh,avg,0.05910533294081688,9.367707
0.025750000000000002,100,128,adam,2,relu,avg,0.020359862595796585,1.5967793
0.025750000000000002,100,128,adam,2,tanh,avg,0.017118822783231735,0.68591064
0.025750000000000002,100,128,adam,4,relu,avg,0.05500087887048721,44.996758
0.025750000000000002,100,128,adam,4,tanh,avg,0.04592512175440788,5.10881
0.025750000000000002,100,128,adam,6,relu,avg,0.06264057010412216,6.968416
